Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800003-104,2,"C1,C5","CAP,0805,0.1u,25V,X5R",0.1u,Open Market,N/A
2,800239-101,2,"C124,C125","CAP,0805,C0G/NPO,100PF,50V",100p,Open Market,N/A
3,800113-102,8,DS1-DS8,"LED,GREEN,0805",GREEN,Open Market,N/A
4,800245-601,2,"E2,E3","FERRITE,CHIP,0805,600 ohm,100MHz,500mA",FB0805,Sunlord,GZ2012U601TF
5,800233-101,3,J1-J3,"CONN,SOC,SMA,LAUNCH,0.062 PCB",CONN_SMA_LAUNCH,Kinghelm,KH-SMA-KE8-G
6,XXXXXX-XXX,38,"C100,C103,C106,C13,C16,C19,C22,C26,C29,C32,C35,C38,C39,C41,C42,C44,C45,C47,C48,C52,C55,C58,C61,C64,C65,C67,C68,C70,C71,C73,C74,C77,C79,C81,C83,C86,C92,C97",DNI,DNI,DNI,DNI
