Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800114-108,1,J4,"CONN,HDR,SHROUDED,8 CKT,5MM,XH SERIES",CONN8,JST,B8B-XH-A
2,800231-101,17,K1-K17,"RELAY,SPDT,12V,3A",HK4100F-DC12V-SHCG,HUIKE,HK4100F-DC12V-SHCG
3,800234-802,6,"L1-L3,L22-L24","TOROID,POWDERED_IRON,T80-2",2.68uH,Open Market,N/A
4,800234-506,15,L7-L21,"TOROID,POWDERED_IRON,T50-6",0.67uH,Open Market,N/A
5,800234-686,3,L4-L6,"TOROID,POWDERED_IRON,T68-6",1.34uH,Open Market,N/A
6,800116-101,1,TP1,"CONN,HDR,1CKT,0.1PITCH,BERGSTRIP",GND,Open Market,N/A
7,XXXXXX-XXX,38,"C100,C103,C106,C13,C16,C19,C22,C26,C29,C32,C35,C38,C39,C41,C42,C44,C45,C47,C48,C52,C55,C58,C61,C64,C65,C67,C68,C70,C71,C73,C74,C77,C79,C81,C83,C86,C92,C97",DNI,DNI,DNI,DNI
